fire,mean_dNBR,sd_dNBR,min_dNBR,max_dNBR
CALDWELL,8.539064769097105e-7,0.003045725529915138,-0.0245,0.0343
CAMERON PEAK,0.36617624026307916,0.2931929407645992,-1,1.141
CHETCO BAR,0.0412901544776099,0.1281822799384179,-0.533,1.034
EAST TROUBLESOME,0.35691537313327415,0.2678056163810675,-0.969,1.181
JENNIES PEAK 1039 RN,0.004795063103924275,0.02147993254386081,-0.0742,0.0964
PINE GULCH,0.09595205243394662,0.19850402861821625,-1.488,1.086
WATSON CREEK,0.045722921724182,0.1800372422230361,-0.825,1.086
