fire,mean_dNBR,sd_dNBR,min_dNBR,max_dNBR,FRE_GJ
Caldwell,8.539064769097105e-7,0.00304572552991513,-0.0245,0.0343,34636255.29
Cameron Peak,0.3661762402630792,0.2931929407645992,-1,1.141,9076388.4216
Chetco Bar,0.0412901544776099,0.1281822799384179,-0.533,1.034,5413321.0863
East Troublesome,0.35691537313327415,0.2678056163810675,-0.969,1.181,4263400.7658
Jennies Peak 1039 Rn,0.00479506310392427,0.02147993254386081,-0.0742,0.0964,6207107.597099999
Pine Gulch,0.09595205243394662,0.19850402861821623,-1.488,1.086,3014146.1082
Watson Creek,0.045722921724182,0.1800372422230361,-0.825,1.086,62682810.78960001
